make_model,power_kW,age,empty_weight,mileage,gearbox,gears,drivetrain,cons_avg,co_emissions,price
Opel Adam,110.0,5.0,1135.0,54163.0,Manual,5.0,Front,5.9,139.0,14990.0
Opel Corsa,110.0,4.0,1199.0,29904.0,Manual,6.0,Front,5.9,136.0,15790.0
Opel Corsa,74.0,3.0,1055.0,21358.0,Manual,5.0,Front,4.2,96.0,15250.0
Opel Adam,85.0,4.0,1135.0,73000.0,Manual,5.0,Front,4.9,116.0,10980.0
Opel Adam,85.0,3.0,1135.0,62500.0,Manual,6.0,Front,0.0,0.0,13980.0
Opel Adam,74.0,3.0,1135.0,40594.0,Manual,5.0,Front,0.0,0.0,12580.0
Opel Corsa,74.0,4.0,1214.0,40200.0,Manual,6.0,Front,5.5,122.0,11980.0
Opel Corsa,63.0,7.0,1020.0,84619.0,Manual,5.0,Front,5.0,129.0,7690.0
Opel Corsa,66.0,3.0,1156.0,83054.0,Manual,5.0,Front,5.6,126.0,8479.0
Opel Adam,110.0,5.0,1135.0,50450.0,Manual,6.0,Front,5.2,118.0,16900.0
Opel Corsa,110.0,3.0,1055.0,49551.0,Manual,5.0,Front,6.1,0.0,15900.0
Opel Corsa,55.0,3.0,1055.0,19000.0,Manual,5.0,Front,0.0,106.5,14900.0
Opel Astra,85.0,14.0,1240.0,88000.0,Automatic,5.0,Front,6.6,138.5,8990.0
Opel Corsa,110.0,4.0,1055.0,47200.0,Manual,6.0,Front,6.1,136.0,13490.0
Opel Astra,73.0,15.0,1380.0,178520.0,Manual,5.0,Front,5.0,88.0,3900.0
Opel Astra,81.0,7.0,1350.0,135000.0,Manual,6.0,Front,3.7,88.0,9995.0
Opel Corsa,74.0,3.0,1214.0,17700.0,Manual,6.0,Front,5.5,125.0,12490.0
Opel Corsa,55.0,3.0,1055.0,20000.0,Manual,5.0,Front,0.0,106.5,15900.0
Opel Corsa,110.0,7.0,1055.0,43001.0,Manual,5.0,Front,5.9,140.0,13450.0
Opel Astra,74.0,9.0,1273.0,74849.0,Manual,5.0,Front,5.5,129.0,8690.0
Opel Adam,74.0,3.0,1135.0,60565.0,Manual,5.0,Front,0.0,0.0,11990.0
Opel Adam,110.0,6.0,1178.0,40869.0,Manual,6.0,Front,5.9,139.0,13980.0
Opel Adam,64.0,4.0,1135.0,26200.0,Manual,5.0,Front,5.7,131.0,12350.0
